Index;Product Name;Colors;Pic Urls;Care Instructions
1;Pyjama shorts in TENCEL Lyocell with logo print;Light Blue;https://images.hugoboss.com/is/image/boss/hbeu50431091_498_140?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Tumble Dry Low Heat  Iron Low Heat  Do not chemical dry clean
2;Cottonpiqu polo shirt with reverselogo embroidery;Black  Dark Blue  White  Dark Grey;https://images.hugoboss.com/is/image/boss/hbeu50442931_001_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
3;Waterrepellent regularfit jacket with contrast lining;Dark Green;https://images.hugoboss.com/is/image/boss/hbeu50457960_342_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
4;Pyjama set Set Long Woven BM;Open Blue  Dark Blue  Dark Grey  Open Grey;https://images.hugoboss.com/is/image/boss/20_hbeu50210447_476_21?wid=462&qlt=80  ;40 coloured wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Do not chemical dry clean
5;Slimfit coat in waterrepellent fabric;Black  Beige;https://images.hugoboss.com/is/image/boss/hbeu50446303_001_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Professional wet clean
6;Woven trousers Long Pant EW BM;Dark Blue  Open Blue  Open Blue  Open Blue  Open Blue  Open Purple  Open Blue  Open Grey;https://images.hugoboss.com/is/image/boss/20_hbeu50210443_464_21?wid=462&qlt=80  ;40 coloured wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Do not chemical dry clean
7;Pyjama set Set Long Woven BM;Dark Grey  Dark Blue  Open Blue  Open Grey;https://images.hugoboss.com/is/image/boss/20_hbeu50210447_021_31?wid=462&qlt=80  ;40 coloured wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Do not chemical dry clean
8;Woven trousers Long Pant EW BM;Open Blue  Open Blue  Open Blue  Dark Blue  Open Blue  Open Purple  Open Blue  Open Grey;https://images.hugoboss.com/is/image/boss/20_hbeu50210443_482_21?wid=462&qlt=80  ;40 coloured wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Do not chemical dry clean
9;Waterrepellent trench coat with adjustable belt;Dark Blue  Dark Green  Beige;https://images.hugoboss.com/is/image/boss/hbeu50446304_405_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
10;Regularfit waterrepellent jacket with logo artwork;Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50445960_410_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Professional wet clean
11;Quarterzip logo sweater in cotton;Dark Blue  Black;https://images.hugoboss.com/is/image/boss/hbeu50443947_410_100?wid=462&qlt=80  ;30 fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Chemical dry cleaning P
12;Quarterzip logo sweater in cotton;Black  Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50443947_001_100?wid=462&qlt=80  ;30 fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Chemical dry cleaning P
13;Herringbonepatterned sweater in cottonblend chenille;Dark Blue  Light Green;https://images.hugoboss.com/is/image/boss/hbeu50443387_404_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
14;Slimfit sweater in singlejersey cotton;Red;https://images.hugoboss.com/is/image/boss/hbeu50451211_628_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
15;Turtleneck cotton sweater with jacquardknitted structure;Black;https://images.hugoboss.com/is/image/boss/hbeu50443858_001_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Chemical dry cleaning P
16;Regularfit sweater in cotton with degrad stripes;Red Patterned;https://images.hugoboss.com/is/image/boss/hbeu50448458_342_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
17;Cottonblend sweater with contrast patch and pocket;Black;https://images.hugoboss.com/is/image/boss/hbeu50443877_001_100?wid=462&qlt=80  ;Hand Wash Only  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean
18;Crewneck sweater in pure cotton with tonal logo;Dark Grey  light pink  Dark Blue  Black;https://images.hugoboss.com/is/image/boss/hbeu50435701_033_100?wid=462&qlt=80  ;30 fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Chemical dry cleaning P
19;Cuffed tracksuit bottoms in cotton with tonal piqu structure;Black  Blue  Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50455092_001_240?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean
20;Regularfit bomber jacket with red logo label;Black;https://images.hugoboss.com/is/image/boss/hbeu50447956_001_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
21;Cotton sweater with largescale jacquardwoven logos;Black Patterned;https://images.hugoboss.com/is/image/boss/hbeu50450032_001_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
22;Regularfit tracksuit bottoms in French terry;White;https://images.hugoboss.com/is/image/boss/hbeu50449930_101_240?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean
23;Kimono Kimono BM in breathable cotton blend;White  Dark Blue;https://images.hugoboss.com/is/image/boss/20_hbeu50241056_100_21?wid=462&qlt=80  ;40 mild wash  Do Not Bleach  Tumble Dry Low Heat  Iron Medium Heat  Do not chemical dry clean
24;Woven trousers Long Pant EW BM;Open Blue  Open Blue  Open Blue  Open Blue  Dark Blue  Open Blue  Open Purple  Open Grey;https://images.hugoboss.com/is/image/boss/20_hbeu50210443_487_21?wid=462&qlt=80  ;40 coloured wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Do not chemical dry clean
25;Slimfit waterrepellent jacket with down filling;Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50447098_404_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
26;Organiccotton sweater with contrast curved logo;Black;https://images.hugoboss.com/is/image/boss/hbeu50440679_001_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
27;Merinowool sweater with embroidered logo;White  Khaki  Beige;https://images.hugoboss.com/is/image/boss/hbeu50457663_131_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
28;Pyjama set Set Long Woven BM;Open Grey  Dark Blue  Open Blue  Dark Grey;https://images.hugoboss.com/is/image/boss/20_hbeu50210447_077_22?wid=462&qlt=80  ;40 coloured wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Do not chemical dry clean
29;Cotton pyjama setSet SS LP BM;Blue  Open Blue;https://images.hugoboss.com/is/image/boss/20_hbeu50210337_479_21?wid=462&qlt=80  ;40 coloured wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Do not chemical dry clean
30;Zipthrough hooded sweater in cotton and wool;Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50457665_404_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean
31;Mockneck sweater in a wool blend;Dark Red  Light Blue  Dark Blue  Black;https://images.hugoboss.com/is/image/boss/hbeu50442148_609_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
32;Dressing gown with a hood Hooded Robe BM;Open Grey  Black;https://images.hugoboss.com/is/image/boss/20_hbeu50229132_068_21?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean
33;Cottonblend mockneck sweater with 3D structure;Black Patterned  Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50443417_001_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Chemical dry cleaning P
34;Regularfit sweater in pure cashmere;Dark Blue  Dark Red  Light Beige  Light Grey  Black;https://images.hugoboss.com/is/image/boss/hbeu50442201_402_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
35;Regularfit anorak in waterrepellent crinkle fabric;White;https://images.hugoboss.com/is/image/boss/hbeu50446812_118_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
36;Crewneck sweater with jacquardknitted monograms;Black;https://images.hugoboss.com/is/image/boss/hbeu50442157_001_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Gentle chemical dry cleaning P
37;Regularfit sweater in pure cashmere;Dark Red  Dark Blue  Light Beige  Light Grey  Black;https://images.hugoboss.com/is/image/boss/hbeu50442201_609_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
38;Vneck sweater in cotton with embroidered logo;Dark Blue  Dark Red  Light Grey  Black;https://images.hugoboss.com/is/image/boss/hbeu50442153_402_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
39;Regularfit sweater in pure cashmere;Light Beige  Dark Red  Dark Blue  Light Grey  Black;https://images.hugoboss.com/is/image/boss/hbeu50442201_293_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
40;Cuffed tracksuit bottoms in cotton with tonal piqu structure;Dark Blue  Blue  Black;https://images.hugoboss.com/is/image/boss/hbeu50455092_410_240?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean
41;Poloneck sweater with goldtoned trims;Black;https://images.hugoboss.com/is/image/boss/hbeu50442192_001_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Gentle chemical dry cleaning P
42;Vneck sweater in cotton with embroidered logo;Light Grey  Dark Red  Dark Blue  Black;https://images.hugoboss.com/is/image/boss/hbeu50442153_061_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
43;Mockneck sweater in a wool blend;Black  Dark Red  Light Blue  Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50442148_001_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
44;Regularfit sweater in pure cashmere;Black  Dark Red  Dark Blue  Light Beige  Light Grey;https://images.hugoboss.com/is/image/boss/hbeu50442201_001_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
45;Relaxedfit rollneck sweater in virgin wool;Light Green  Dark Red;https://images.hugoboss.com/is/image/boss/hbeu50447525_355_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
46;Embroideredlogo sweater in Italian cotton;Black  Dark Blue  Dark Grey;https://images.hugoboss.com/is/image/boss/hbeu50442138_001_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
